state,votes,electoral_vote
Delaware,489473,0
Georgia,4942067,0
Idaho,858780,0
Illinois,5463299,0
Iowa,1668209,0
Kansas,1333754,0
Kentucky,2155136,0
Louisiana,2071338,0
Maine,759633,0
Massachusetts,3319535,0
Michigan,5463599,0
Minnesota,3214918,0
Mississippi,1157956,0
Montana,602732,0
Nebraska,893109,0
New Hampshire,792650,0
New Jersey,3753428,0
New Mexico,912999,0
North Carolina,5425616,0
Oklahoma,1556361,0
Oregon,2283213,0
Rhode Island,491923,0
South Carolina,2512990,0
South Dakota,420448,0
Tennessee,2952425,0
Texas,11080039,0
Virginia,4372342,0
West Virginia,772152,0
Wyoming,270681,0
Alabama,2303212,0
Arizona,3304558,0
Arkansas,1184113,0
Colorado,3153470,0
Alaska,191230,0
